NAME      ,NATIONAL,KANTO,JOHTO,HOENN,TYPE 1  ,TYPE 2  ,SPECIES NAME        ,HEIGHT,WEIGHT,ABILITY 1    ,ABILITY 2    ,HIDDEN ABILITY,HP,ATK,DEF,SPATK,SPDEF,SPEED,CATCH,FRIENDLY,EXP GIVEN,GROWTH,EGG 1        ,EGG 2     ,GENDER,EGG CYCLES,BABY,HP ,ATK,DEF,SPATK,SPDEF,SPEED,TOTAL,BODY              ,COLOR ,DESCRIPTION,FEMALE SPRITE
Weepinbell,70      ,70   ,65   ,     ,Grass   ,Poison  ,Flycatcher Pokémon  ,1.00  ,6.40  ,Chlorophyll  ,             ,Gluttony      ,0 ,2  ,0  ,0    ,0    ,0    ,120  ,70      ,137      ,MS    ,Plant        ,          ,0.5   ,20        ,0   ,65 ,90 ,50 ,85   ,45   ,55   ,390  ,Somatoid          ,Green ,           ,FALSE
Victreebel,71      ,71   ,66   ,     ,Grass   ,Poison  ,Flycatcher Pokémon  ,1.70  ,15.50 ,Chlorophyll  ,             ,Gluttony      ,0 ,3  ,0  ,0    ,0    ,0    ,45   ,70      ,216      ,MS    ,Plant        ,          ,0.5   ,20        ,0   ,80 ,105,65 ,100  ,70   ,70   ,490  ,Somatoid          ,Green ,           ,FALSE
Tentacool ,72      ,72   ,162  ,66   ,Water   ,Poison  ,Jellyfish Pokémon   ,0.90  ,45.50 ,Clear Body   ,Liquid Ooze  ,Rain Dish     ,0 ,0  ,0  ,0    ,1    ,0    ,190  ,70      ,67       ,SL    ,Water3       ,          ,0.5   ,20        ,0   ,40 ,40 ,35 ,50   ,100  ,70   ,335  ,Cephalopod        ,Blue  ,           ,FALSE
Tentacruel,73      ,73   ,163  ,67   ,Water   ,Poison  ,Jellyfish Pokémon   ,1.60  ,55.00 ,Clear Body   ,Liquid Ooze  ,Rain Dish     ,0 ,0  ,0  ,0    ,2    ,0    ,60   ,70      ,180      ,SL    ,Water3       ,          ,0.5   ,20        ,0   ,80 ,70 ,65 ,80   ,120  ,100  ,515  ,Cephalopod        ,Blue  ,           ,FALSE
Geodude   ,74      ,74   ,34   ,57   ,Rock    ,Ground  ,Rock Pokémon        ,0.40  ,20.00 ,Rock Head    ,Sturdy       ,Sand Veil     ,0 ,0  ,1  ,0    ,0    ,0    ,255  ,70      ,60       ,MS    ,Mineral      ,          ,0.5   ,15        ,0   ,40 ,80 ,100,30   ,30   ,20   ,300  ,Brachiocephaloform,Brown ,           ,FALSE
Graveler  ,75      ,75   ,35   ,58   ,Rock    ,Ground  ,Rock Pokémon        ,1.00  ,105.00,Rock Head    ,Sturdy       ,Sand Veil     ,0 ,0  ,2  ,0    ,0    ,0    ,120  ,70      ,137      ,MS    ,Mineral      ,          ,0.5   ,15        ,0   ,55 ,95 ,115,45   ,45   ,35   ,390  ,Androform         ,Brown ,           ,FALSE
Golem     ,76      ,76   ,36   ,59   ,Rock    ,Ground  ,Megaton Pokémon     ,1.40  ,300.00,Rock Head    ,Sturdy       ,Sand Veil     ,0 ,0  ,3  ,0    ,0    ,0    ,45   ,70      ,218      ,MS    ,Mineral      ,          ,0.5   ,15        ,0   ,80 ,120,130,55   ,65   ,45   ,495  ,Androform         ,Brown ,           ,FALSE
Ponyta    ,77      ,77   ,201  ,     ,Fire    ,        ,Fire Horse Pokémon  ,1.00  ,30.00 ,Run Away     ,Flash Fire   ,Flame Body    ,0 ,0  ,0  ,0    ,0    ,1    ,190  ,70      ,82       ,MF    ,Ground       ,          ,0.5   ,20        ,0   ,50 ,85 ,55 ,65   ,65   ,90   ,410  ,Quadruped         ,Yellow,           ,FALSE
Rapidash  ,78      ,78   ,202  ,     ,Fire    ,        ,Fire Horse Pokémon  ,1.70  ,95.00 ,Run Away     ,Flash Fire   ,Flame Body    ,0 ,0  ,0  ,0    ,0    ,2    ,60   ,70      ,175      ,MF    ,Ground       ,          ,0.5   ,20        ,0   ,65 ,100,70 ,80   ,80   ,105  ,500  ,Quadruped         ,Yellow,           ,FALSE
Slowpoke  ,79      ,79   ,     ,     ,Psychic ,Water   ,Dopey Pokémon       ,1.20  ,36.00 ,Oblivious    ,Own Tempo    ,Regenerator   ,1 ,0  ,0  ,0    ,0    ,0    ,190  ,70      ,63       ,MF    ,Monster      ,Water1    ,0.5   ,20        ,0   ,90 ,65 ,65 ,40   ,40   ,15   ,315  ,Quadruped         ,Pink  ,           ,FALSE
Slowbro   ,80      ,80   ,     ,     ,Psychic ,Water   ,Hermit Crab Pokémon ,1.60  ,78.50 ,Oblivious    ,Own Tempo    ,Regenerator   ,0 ,0  ,2  ,0    ,0    ,0    ,75   ,70      ,172      ,MF    ,Monster      ,Water1    ,0.5   ,20        ,0   ,95 ,75 ,110,100  ,80   ,30   ,490  ,Androcaudal       ,Pink  ,           ,FALSE
Magnemite ,81      ,81   ,118  ,82   ,Electric,Steel   ,Magnet Pokémon      ,0.30  ,6.00  ,Magnet Pull  ,Sturdy       ,Analytic      ,0 ,0  ,0  ,1    ,0    ,0    ,190  ,70      ,65       ,MF    ,Mineral      ,          ,-1    ,20        ,0   ,25 ,35 ,70 ,95   ,55   ,45   ,325  ,Brachiocephaloform,Gray  ,           ,FALSE
Magneton  ,82      ,82   ,119  ,83   ,Electric,Steel   ,Magnet Pokémon      ,1.00  ,60.00 ,Magnet Pull  ,Sturdy       ,Analytic      ,0 ,0  ,0  ,2    ,0    ,0    ,60   ,70      ,163      ,MF    ,Mineral      ,          ,-1    ,20        ,0   ,50 ,60 ,95 ,120  ,70   ,70   ,465  ,Zooid             ,Gray  ,           ,FALSE
Farfetch'd,83      ,83   ,158  ,     ,Flying  ,Normal  ,Wild Duck Pokémon   ,0.80  ,15.00 ,Keen Eye     ,Inner Focus  ,Defiant       ,0 ,1  ,0  ,0    ,0    ,0    ,45   ,70      ,123      ,MF    ,Flying       ,Ground    ,0.5   ,20        ,0   ,52 ,65 ,55 ,58   ,62   ,60   ,352  ,Diplopterygotus   ,Brown ,           ,FALSE
Doduo     ,84      ,84   ,199  ,92   ,Flying  ,Normal  ,Twin Bird Pokémon   ,1.40  ,39.20 ,Run Away     ,Early Bird   ,Tangled Feet  ,0 ,1  ,0  ,0    ,0    ,0    ,190  ,70      ,62       ,MF    ,Flying       ,          ,0.5   ,20        ,0   ,35 ,85 ,45 ,35   ,35   ,75   ,310  ,Asomaticcephalopod,Brown ,           ,TRUE
Dodrio    ,85      ,85   ,200  ,93   ,Flying  ,Normal  ,Triple Bird Pokémon ,1.80  ,85.20 ,Run Away     ,Early Bird   ,Tangled Feet  ,0 ,2  ,0  ,0    ,0    ,0    ,45   ,70      ,161      ,MF    ,Flying       ,          ,0.5   ,20        ,0   ,60 ,110,70 ,60   ,60   ,100  ,460  ,Asomaticcephalopod,Brown ,           ,TRUE
Seel      ,86      ,86   ,176  ,     ,Water   ,        ,Sea Lion Pokémon    ,1.10  ,90.00 ,Thick Fat    ,Hydration    ,Ice Body      ,0 ,0  ,0  ,0    ,1    ,0    ,190  ,70      ,65       ,MF    ,Water1       ,Ground    ,0.5   ,20        ,0   ,65 ,45 ,55 ,45   ,70   ,45   ,325  ,Pinniped          ,White ,           ,FALSE
Dewgong   ,87      ,87   ,177  ,     ,Ice     ,Water   ,Sea Lion Pokémon    ,1.70  ,120.00,Thick Fat    ,Hydration    ,Ice Body      ,0 ,0  ,0  ,0    ,2    ,0    ,75   ,70      ,166      ,MF    ,Water1       ,Ground    ,0.5   ,20        ,0   ,90 ,70 ,80 ,70   ,95   ,70   ,475  ,Pinniped          ,White ,           ,FALSE
Grimer    ,88      ,88   ,116  ,106  ,Poison  ,        ,Sludge Pokémon      ,0.90  ,30.00 ,Stench       ,Sticky Hold  ,Poison Touch  ,1 ,0  ,0  ,0    ,0    ,0    ,190  ,70      ,65       ,MF    ,Indeterminate,          ,0.5   ,20        ,0   ,80 ,80 ,50 ,40   ,50   ,25   ,325  ,Brachiocephaloform,Purple,           ,FALSE
Muk       ,89      ,89   ,117  ,107  ,Poison  ,        ,Sludge Pokémon      ,1.20  ,30.00 ,Stench       ,Sticky Hold  ,Poison Touch  ,1 ,1  ,0  ,0    ,0    ,0    ,75   ,70      ,175      ,MF    ,Indeterminate,          ,0.5   ,20        ,0   ,105,105,75 ,65   ,100  ,50   ,500  ,Brachiocephaloform,Purple,           ,FALSE
Shellder  ,90      ,90   ,169  ,     ,Water   ,        ,Bivalve Pokémon     ,0.30  ,4.00  ,Shell Armor  ,Skill Link   ,Overcoat      ,0 ,0  ,1  ,0    ,0    ,0    ,190  ,70      ,61       ,SL    ,Water3       ,          ,0.5   ,20        ,0   ,30 ,65 ,100,45   ,25   ,40   ,305  ,Cephaloform       ,Purple,           ,FALSE
Cloyster  ,91      ,91   ,170  ,     ,Ice     ,Water   ,Bivalve Pokémon     ,1.50  ,132.50,Shell Armor  ,Skill Link   ,Overcoat      ,0 ,0  ,2  ,0    ,0    ,0    ,60   ,70      ,184      ,SL    ,Water3       ,          ,0.5   ,20        ,0   ,50 ,95 ,180,85   ,45   ,70   ,525  ,Cephaloform       ,Purple,           ,FALSE
Gastly    ,92      ,92   ,58   ,     ,Ghost   ,Poison  ,Gas Pokémon         ,1.30  ,0.10  ,Levitate     ,             ,              ,0 ,0  ,0  ,1    ,0    ,0    ,190  ,70      ,62       ,MS    ,Indeterminate,          ,0.5   ,20        ,0   ,30 ,35 ,30 ,100  ,35   ,80   ,310  ,Cephaloform       ,Purple,           ,FALSE
Haunter   ,93      ,93   ,59   ,     ,Ghost   ,Poison  ,Gas Pokémon         ,1.60  ,0.10  ,Levitate     ,             ,              ,0 ,0  ,0  ,2    ,0    ,0    ,90   ,70      ,142      ,MS    ,Indeterminate,          ,0.5   ,20        ,0   ,45 ,50 ,45 ,115  ,55   ,95   ,405  ,Brachiocephaloform,Purple,           ,FALSE
Gengar    ,94      ,94   ,60   ,     ,Ghost   ,Poison  ,Shadow Pokémon      ,1.50  ,40.50 ,Levitate     ,             ,              ,0 ,0  ,0  ,3    ,0    ,0    ,45   ,70      ,225      ,MS    ,Indeterminate,          ,0.5   ,20        ,0   ,60 ,65 ,60 ,130  ,75   ,110  ,500  ,Androcaudal       ,Purple,           ,FALSE
Onix      ,95      ,95   ,62   ,     ,Rock    ,Ground  ,Rock Snake Pokémon  ,8.80  ,210.00,Rock Head    ,Sturdy       ,Weak Armor    ,0 ,0  ,1  ,0    ,0    ,0    ,45   ,70      ,77       ,MF    ,Mineral      ,          ,0.5   ,25        ,0   ,35 ,45 ,160,30   ,45   ,70   ,385  ,Serpentine        ,Gray  ,           ,FALSE
Drowzee   ,96      ,96   ,87   ,     ,Psychic ,        ,Hypnosis Pokémon    ,1.00  ,32.40 ,Insomnia     ,Forewarn     ,Inner Focus   ,0 ,0  ,0  ,0    ,1    ,0    ,190  ,70      ,66       ,MF    ,Human-like   ,          ,0.5   ,20        ,0   ,60 ,48 ,45 ,43   ,90   ,42   ,328  ,Androform         ,Yellow,           ,FALSE
Hypno     ,97      ,97   ,88   ,     ,Psychic ,        ,Hypnosis Pokémon    ,1.60  ,75.60 ,Insomnia     ,Forewarn     ,Inner Focus   ,0 ,0  ,0  ,0    ,2    ,0    ,75   ,70      ,169      ,MF    ,Human-like   ,          ,0.5   ,20        ,0   ,85 ,73 ,70 ,73   ,115  ,67   ,483  ,Androform         ,Yellow,           ,TRUE
Krabby    ,98      ,98   ,164  ,     ,Water   ,        ,River Crab Pokémon  ,0.40  ,6.50  ,Hyper Cutter ,Shell Armor  ,Sheer Force   ,0 ,1  ,0  ,0    ,0    ,0    ,225  ,70      ,65       ,MF    ,Water3       ,          ,0.5   ,20        ,0   ,30 ,105,90 ,25   ,25   ,50   ,325  ,Insectoid         ,Red   ,           ,FALSE
Kingler   ,99      ,99   ,165  ,     ,Water   ,        ,Pincer Pokémon      ,1.30  ,60.00 ,Hyper Cutter ,Shell Armor  ,Sheer Force   ,0 ,2  ,0  ,0    ,0    ,0    ,60   ,70      ,166      ,MF    ,Water3       ,          ,0.5   ,20        ,0   ,55 ,130,115,50   ,50   ,75   ,475  ,Insectoid         ,Red   ,           ,FALSE
Voltorb   ,100     ,100  ,120  ,84   ,Electric,        ,Ball Pokémon        ,0.50  ,10.40 ,Soundproof   ,Static       ,Aftermath     ,0 ,0  ,0  ,0    ,0    ,1    ,190  ,70      ,66       ,MF    ,Mineral      ,          ,-1    ,20        ,0   ,40 ,30 ,50 ,55   ,55   ,100  ,330  ,Cephaloform       ,Red   ,           ,FALSE
Electrode ,101     ,101  ,121  ,85   ,Electric,        ,Ball Pokémon        ,1.20  ,66.60 ,Soundproof   ,Static       ,Aftermath     ,0 ,0  ,0  ,0    ,0    ,2    ,60   ,70      ,168      ,MF    ,Mineral      ,          ,-1    ,20        ,0   ,60 ,50 ,70 ,80   ,80   ,140  ,480  ,Cephaloform       ,Red   ,           ,FALSE
Exeggcute ,102     ,102  ,104  ,     ,Psychic ,Grass   ,Egg Pokémon         ,0.40  ,2.50  ,Chlorophyll  ,             ,Harvest       ,0 ,0  ,1  ,0    ,0    ,0    ,90   ,70      ,65       ,SL    ,Plant        ,          ,0.5   ,20        ,0   ,60 ,40 ,80 ,60   ,45   ,40   ,325  ,Zooid             ,Pink  ,           ,FALSE
Exeggutor ,103     ,103  ,105  ,     ,Psychic ,Grass   ,Coconut Pokémon     ,2.00  ,120.00,Chlorophyll  ,             ,Harvest       ,0 ,0  ,0  ,2    ,0    ,0    ,45   ,70      ,182      ,SL    ,Plant        ,          ,0.5   ,20        ,0   ,95 ,95 ,85 ,125  ,65   ,55   ,520  ,Asomaticcephalopod,Yellow,           ,FALSE
Cubone    ,104     ,104  ,203  ,     ,Ground  ,        ,Lonely Pokémon      ,0.40  ,6.50  ,Rock Head    ,Lightning Rod,Battle Armor  ,0 ,0  ,1  ,0    ,0    ,0    ,190  ,70      ,64       ,MF    ,Monster      ,          ,0.5   ,20        ,0   ,50 ,50 ,95 ,40   ,50   ,35   ,320  ,Androcaudal       ,Brown ,           ,FALSE
Marowak   ,105     ,105  ,204  ,     ,Ground  ,        ,Bone Keeper Pokémon ,1.00  ,45.00 ,Rock Head    ,Lightning Rod,Battle Armor  ,0 ,0  ,2  ,0    ,0    ,0    ,75   ,70      ,149      ,MF    ,Monster      ,          ,0.5   ,20        ,0   ,60 ,80 ,110,50   ,80   ,45   ,425  ,Androcaudal       ,Brown ,           ,FALSE
Hitmonlee ,106     ,106  ,144  ,     ,Fighting,        ,Kicking Pokémon     ,1.50  ,49.80 ,Limber       ,Reckless     ,Unburden      ,0 ,2  ,0  ,0    ,0    ,0    ,45   ,70      ,159      ,MF    ,Human-like   ,          ,1     ,25        ,0   ,50 ,120,53 ,35   ,110  ,87   ,455  ,Androform         ,Brown ,           ,FALSE
Hitmonchan,107     ,107  ,145  ,     ,Fighting,        ,Punching Pokémon    ,1.40  ,50.20 ,Keen Eye     ,Iron Fist    ,Inner Focus   ,0 ,0  ,0  ,0    ,2    ,0    ,45   ,70      ,159      ,MF    ,Human-like   ,          ,1     ,25        ,0   ,50 ,105,79 ,35   ,110  ,76   ,455  ,Androform         ,Brown ,           ,FALSE
Lickitung ,108     ,108  ,178  ,     ,Normal  ,        ,Licking Pokémon     ,1.20  ,65.50 ,Own Tempo    ,Oblivious    ,Cloud Nine    ,2 ,0  ,0  ,0    ,0    ,0    ,45   ,70      ,77       ,MF    ,Monster      ,          ,0.5   ,20        ,0   ,90 ,55 ,75 ,60   ,75   ,30   ,385  ,Androcaudal       ,Pink  ,           ,FALSE
Koffing   ,109     ,109  ,114  ,108  ,Poison  ,        ,Poison Gas Pokémon  ,0.60  ,1.00  ,Levitate     ,             ,              ,0 ,0  ,1  ,0    ,0    ,0    ,190  ,70      ,68       ,MF    ,Indeterminate,          ,0.5   ,20        ,0   ,40 ,65 ,95 ,60   ,45   ,35   ,340  ,Cephaloform       ,Purple,           ,FALSE
Weezing   ,110     ,110  ,115  ,109  ,Poison  ,        ,Poison Gas Pokémon  ,1.20  ,9.50  ,Levitate     ,             ,              ,0 ,0  ,2  ,0    ,0    ,0    ,60   ,70      ,172      ,MF    ,Indeterminate,          ,0.5   ,20        ,0   ,65 ,90 ,120,85   ,70   ,60   ,490  ,Zooid             ,Purple,           ,FALSE
Rhyhorn   ,111     ,111  ,206  ,169  ,Rock    ,Ground  ,Spikes Pokémon      ,1.00  ,115.00,Lightning Rod,Rock Head    ,Reckless      ,0 ,0  ,1  ,0    ,0    ,0    ,120  ,70      ,69       ,SL    ,Monster      ,Ground    ,0.5   ,20        ,0   ,80 ,85 ,95 ,30   ,30   ,25   ,345  ,Quadruped         ,Gray  ,           ,TRUE
Rhydon    ,112     ,112  ,207  ,170  ,Rock    ,Ground  ,Drill Pokémon       ,1.90  ,120.00,Lightning Rod,Rock Head    ,Reckless      ,0 ,2  ,0  ,0    ,0    ,0    ,60   ,70      ,170      ,SL    ,Monster      ,Ground    ,0.5   ,20        ,0   ,105,130,120,45   ,45   ,40   ,485  ,Androcaudal       ,Gray  ,           ,TRUE
Chansey   ,113     ,113  ,217  ,     ,Normal  ,        ,Egg Pokémon         ,1.10  ,34.60 ,Natural Cure ,Serene Grace ,Healer        ,2 ,0  ,0  ,0    ,0    ,0    ,30   ,140     ,395      ,FA    ,Fairy        ,          ,0     ,40        ,0   ,250,5  ,5  ,35   ,105  ,50   ,450  ,Androcaudal       ,Pink  ,           ,FALSE
Tangela   ,114     ,114  ,179  ,     ,Grass   ,        ,Vine Pokémon        ,1.00  ,35.00 ,Chlorophyll  ,Leaf Guard   ,Regenerator   ,0 ,0  ,1  ,0    ,0    ,0    ,45   ,70      ,87       ,MF    ,Plant        ,          ,0.5   ,20        ,0   ,65 ,55 ,115,100  ,40   ,60   ,435  ,Asomaticcephalopod,Blue  ,           ,FALSE
Kangaskhan,115     ,115  ,205  ,     ,Normal  ,        ,Parent Pokémon      ,2.20  ,80.00 ,Early Bird   ,Scrappy      ,Inner Focus   ,2 ,0  ,0  ,0    ,0    ,0    ,45   ,70      ,172      ,MF    ,Monster      ,          ,0     ,20        ,0   ,105,95 ,80 ,40   ,80   ,90   ,490  ,Androcaudal       ,Brown ,           ,FALSE
Horsea    ,116     ,116  ,186  ,184  ,Water   ,        ,Dragon Pokémon      ,0.40  ,8.00  ,Swift Swim   ,Sniper       ,Damp          ,0 ,0  ,0  ,1    ,0    ,0    ,225  ,70      ,59       ,MF    ,Water1       ,Dragon    ,0.5   ,20        ,0   ,30 ,40 ,70 ,70   ,25   ,60   ,295  ,Somatoid          ,Blue  ,           ,FALSE
Seadra    ,117     ,117  ,187  ,185  ,Water   ,        ,Dragon Pokémon      ,1.20  ,25.00 ,Poison Point ,Sniper       ,Damp          ,0 ,0  ,1  ,1    ,0    ,0    ,75   ,70      ,154      ,MF    ,Water1       ,Dragon    ,0.5   ,20        ,0   ,55 ,65 ,95 ,95   ,45   ,85   ,440  ,Somatoid          ,Blue  ,           ,FALSE
Goldeen   ,118     ,118  ,78   ,50   ,Water   ,        ,Goldfish Pokémon    ,0.60  ,15.00 ,Swift Swim   ,Water Veil   ,Lightning Rod ,0 ,1  ,0  ,0    ,0    ,0    ,225  ,70      ,64       ,MF    ,Water2       ,          ,0.5   ,20        ,0   ,45 ,67 ,60 ,35   ,50   ,63   ,320  ,Pinniped          ,Red   ,           ,TRUE
Seaking   ,119     ,119  ,79   ,51   ,Water   ,        ,Goldfish Pokémon    ,1.30  ,39.00 ,Swift Swim   ,Water Veil   ,Lightning Rod ,0 ,2  ,0  ,0    ,0    ,0    ,60   ,70      ,158      ,MF    ,Water2       ,          ,0.5   ,20        ,0   ,80 ,92 ,65 ,65   ,80   ,68   ,450  ,Pinniped          ,Red   ,           ,TRUE
Staryu    ,120     ,120  ,167  ,143  ,Water   ,        ,Star Shape Pokémon  ,0.80  ,34.50 ,Illuminate   ,Natural Cure ,Analytic      ,0 ,0  ,0  ,0    ,0    ,1    ,225  ,70      ,68       ,SL    ,Water3       ,          ,-1    ,20        ,0   ,30 ,45 ,55 ,70   ,55   ,85   ,340  ,Somatoid          ,Brown ,           ,FALSE
Starmie   ,121     ,121  ,168  ,144  ,Psychic ,Water   ,Mysterious Pokémon  ,1.10  ,80.00 ,Illuminate   ,Natural Cure ,Analytic      ,0 ,0  ,0  ,0    ,0    ,2    ,60   ,70      ,182      ,SL    ,Water3       ,          ,-1    ,20        ,0   ,60 ,75 ,85 ,100  ,85   ,115  ,520  ,Somatoid          ,Purple,           ,FALSE
Mr. Mime  ,122     ,122  ,156  ,     ,Psychic ,Fairy   ,Barrier Pokémon     ,1.30  ,54.50 ,Soundproof   ,Filter       ,Technician    ,0 ,0  ,0  ,0    ,2    ,0    ,45   ,70      ,161      ,MF    ,Human-like   ,          ,0.5   ,25        ,0   ,40 ,45 ,65 ,100  ,120  ,90   ,460  ,Androform         ,Pink  ,           ,FALSE
Scyther   ,123     ,123  ,110  ,     ,Bug     ,Flying  ,Mantis Pokémon      ,1.50  ,56.00 ,Swarm        ,Technician   ,Steadfast     ,0 ,1  ,0  ,0    ,0    ,0    ,45   ,70      ,100      ,MF    ,Bug          ,          ,0.5   ,25        ,0   ,70 ,110,80 ,55   ,80   ,105  ,500  ,Polypterygotus    ,Green ,           ,TRUE
Jynx      ,124     ,124  ,153  ,     ,Psychic ,Ice     ,Human Shape Pokémon ,1.40  ,40.60 ,Oblivious    ,Forewarn     ,Dry Skin      ,0 ,0  ,0  ,2    ,0    ,0    ,45   ,70      ,159      ,MF    ,Human-like   ,          ,0     ,25        ,0   ,65 ,50 ,35 ,115  ,95   ,95   ,455  ,Androform         ,Red   ,           ,FALSE
Electabuzz,125     ,125  ,155  ,     ,Electric,        ,Electric Pokémon    ,1.10  ,30.00 ,Static       ,             ,Vital Spirit  ,0 ,0  ,0  ,0    ,0    ,2    ,45   ,70      ,172      ,MF    ,Human-like   ,          ,0.75  ,25        ,0   ,65 ,83 ,57 ,95   ,85   ,105  ,490  ,Androcaudal       ,Yellow,           ,FALSE
Magmar    ,126     ,126  ,151  ,     ,Fire    ,        ,Spitfire Pokémon    ,1.30  ,44.50 ,Flame Body   ,             ,Vital Spirit  ,0 ,0  ,0  ,2    ,0    ,0    ,45   ,70      ,173      ,MF    ,Human-like   ,          ,0.75  ,25        ,0   ,65 ,95 ,57 ,100  ,85   ,93   ,495  ,Androcaudal       ,Red   ,           ,FALSE
Pinsir    ,127     ,127  ,112  ,167  ,Bug     ,        ,Stag Beetle Pokémon ,1.50  ,55.00 ,Hyper Cutter ,Mold Breaker ,Moxie         ,0 ,2  ,0  ,0    ,0    ,0    ,45   ,70      ,175      ,SL    ,Bug          ,          ,0.5   ,25        ,0   ,65 ,125,100,55   ,70   ,85   ,500  ,Androform         ,Brown ,           ,FALSE
Tauros    ,128     ,128  ,148  ,     ,Normal  ,        ,Wild Bull Pokémon   ,1.40  ,88.40 ,Intimidate   ,Anger Point  ,Sheer Force   ,0 ,1  ,0  ,0    ,0    ,1    ,45   ,70      ,172      ,SL    ,Ground       ,          ,1     ,20        ,0   ,75 ,100,95 ,40   ,70   ,110  ,490  ,Quadruped         ,Brown ,           ,FALSE
Magikarp  ,129     ,129  ,76   ,52   ,Water   ,        ,Fish Pokémon        ,0.90  ,10.00 ,Swift Swim   ,             ,Rattled       ,0 ,0  ,0  ,0    ,0    ,1    ,255  ,70      ,40       ,SL    ,Water2       ,Dragon    ,0.5   ,5         ,0   ,20 ,10 ,55 ,15   ,20   ,80   ,200  ,Pinniped          ,Red   ,           ,TRUE
Gyarados  ,130     ,130  ,77   ,53   ,Water   ,Flying  ,Atrocious Pokémon   ,6.50  ,235.00,Intimidate   ,             ,Moxie         ,0 ,2  ,0  ,0    ,0    ,0    ,45   ,70      ,189      ,SL    ,Water2       ,Dragon    ,0.5   ,5         ,0   ,95 ,125,79 ,60   ,100  ,81   ,540  ,Serpentine        ,Blue  ,           ,TRUE
Lapras    ,131     ,131  ,219  ,     ,Ice     ,Water   ,Transport Pokémon   ,2.50  ,220.00,Water Absorb ,Shell Armor  ,Hydration     ,2 ,0  ,0  ,0    ,0    ,0    ,45   ,70      ,187      ,SL    ,Monster      ,Water1    ,0.5   ,40        ,0   ,130,85 ,80 ,85   ,95   ,60   ,535  ,Pinniped          ,Blue  ,           ,FALSE
Ditto     ,132     ,132  ,92   ,     ,Normal  ,        ,Transform Pokémon   ,0.30  ,4.00  ,Limber       ,             ,Imposter      ,1 ,0  ,0  ,0    ,0    ,0    ,35   ,70      ,101      ,MF    ,Ditto        ,          ,-1    ,20        ,0   ,48 ,48 ,48 ,48   ,48   ,48   ,288  ,Cephaloform       ,Purple,           ,FALSE
Eevee     ,133     ,133  ,180  ,     ,Normal  ,        ,Evolution Pokémon   ,0.30  ,6.50  ,Run Away     ,Adaptability ,Anticipation  ,0 ,0  ,0  ,0    ,1    ,0    ,45   ,70      ,65       ,MF    ,Ground       ,          ,0.875 ,35        ,0   ,55 ,55 ,50 ,45   ,65   ,55   ,325  ,Quadruped         ,Brown ,           ,FALSE
Vaporeon  ,134     ,134  ,181  ,     ,Water   ,        ,Bubble Jet Pokémon  ,1.00  ,29.00 ,Water Absorb ,             ,Hydration     ,2 ,0  ,0  ,0    ,0    ,0    ,45   ,70      ,184      ,MF    ,Ground       ,          ,0.875 ,35        ,0   ,130,65 ,60 ,110  ,95   ,65   ,525  ,Quadruped         ,Blue  ,           ,FALSE
Jolteon   ,135     ,135  ,182  ,     ,Electric,        ,Lightning Pokémon   ,0.80  ,24.50 ,Volt Absorb  ,             ,Quick Feet    ,0 ,0  ,0  ,0    ,0    ,2    ,45   ,70      ,184      ,MF    ,Ground       ,          ,0.875 ,35        ,0   ,65 ,65 ,60 ,110  ,95   ,130  ,525  ,Quadruped         ,Yellow,           ,FALSE
Flareon   ,136     ,136  ,183  ,     ,Fire    ,        ,Flame Pokémon       ,0.90  ,25.00 ,Flash Fire   ,             ,Guts          ,0 ,2  ,0  ,0    ,0    ,0    ,45   ,70      ,184      ,MF    ,Ground       ,          ,0.875 ,35        ,0   ,65 ,130,60 ,95   ,110  ,65   ,525  ,Quadruped         ,Red   ,           ,FALSE
Porygon   ,137     ,137  ,215  ,     ,Normal  ,        ,Virtual Pokémon     ,0.80  ,36.50 ,Trace        ,Download     ,Analytic      ,0 ,0  ,0  ,1    ,0    ,0    ,45   ,70      ,79       ,MF    ,Mineral      ,          ,-1    ,20        ,0   ,65 ,60 ,70 ,85   ,75   ,40   ,395  ,Asomaticcephalopod,Pink  ,           ,FALSE
Omanyte   ,138     ,138  ,220  ,     ,Water   ,Rock    ,Spiral Pokémon      ,0.40  ,7.50  ,Swift Swim   ,Shell Armor  ,Weak Armor    ,0 ,0  ,1  ,0    ,0    ,0    ,45   ,70      ,71       ,MF    ,Water1       ,Water3    ,0.875 ,30        ,0   ,35 ,40 ,100,90   ,55   ,35   ,355  ,Cephalopod        ,Blue  ,           ,FALSE
Omastar   ,139     ,139  ,221  ,     ,Water   ,Rock    ,Spiral Pokémon      ,1.00  ,35.00 ,Swift Swim   ,Shell Armor  ,Weak Armor    ,0 ,0  ,2  ,0    ,0    ,0    ,45   ,70      ,173      ,MF    ,Water1       ,Water3    ,0.875 ,30        ,0   ,70 ,60 ,125,115  ,70   ,55   ,495  ,Cephalopod        ,Blue  ,           ,FALSE
Kabuto    ,140     ,140  ,222  ,     ,Water   ,Rock    ,Shellfish Pokémon   ,0.50  ,11.50 ,Swift Swim   ,Battle Armor ,Weak Armor    ,0 ,0  ,1  ,0    ,0    ,0    ,45   ,70      ,71       ,MF    ,Water1       ,Water3    ,0.875 ,30        ,0   ,30 ,80 ,90 ,55   ,45   ,55   ,355  ,Insectoid         ,Brown ,           ,FALSE
